field,age_floor,age_ceiling,sex,n,mean,sd
nasalalalength_l,39,41,1,22,37.13,2.67
nasalheight,39,41,1,22,57.25,4.08
nasalbdglength,39,41,1,22,50.35,3.74
labfiswidth,39,41,1,22,51.44,4.62
philwidth,39,41,1,22,13.24,2.09
phillength,39,41,1,22,18.16,2.56
uplipheight,39,41,1,22,23.98,2.77
lowlipheight,39,41,1,22,19.41,2.87
upvermheight,39,41,1,22,7.01,1.95
lowvermheight,39,41,1,22,7.22,1.8
cutlowlipheight,39,41,1,22,14.06,2.55
